,param_hidden_layer_sizes,param_learning_rate_init,param_solver,param_alpha,mean_test_score,std_test_score
28,"(60, 20)",0.001,adam,1e-05,0.6344186468347542,0.03065283556822009
16,"(60, 20)",0.001,adam,0.0001,0.6290948666787592,0.03398570229368007
4,"(60, 20)",0.001,adam,0.001,0.6277344458552513,0.03310332986201867
9,"(70, 20)",0.001,sgd,0.001,0.6195719209142029,0.029692160922991224
1,"(50, 20)",0.001,sgd,0.001,0.6182931253401052,0.017901392055866366
27,"(50, 20)",0.01,sgd,1e-05,0.6182205695628514,0.033986955981840476
32,"(70, 20)",0.001,adam,1e-05,0.6169599129330673,0.01896310165605373
13,"(50, 20)",0.001,sgd,0.0001,0.6169417739887538,0.015698897397480576
33,"(70, 20)",0.001,sgd,1e-05,0.6168964266279702,0.029626627104815357
23,"(70, 20)",0.01,sgd,0.0001,0.6168964266279702,0.02869992010984271
21,"(70, 20)",0.001,sgd,0.0001,0.6168873571558136,0.03555521816088975
11,"(70, 20)",0.01,sgd,0.001,0.615545075276619,0.02798939616435782
25,"(50, 20)",0.001,sgd,1e-05,0.6142662797025213,0.024664168983683673
8,"(70, 20)",0.001,adam,0.001,0.6129058588790133,0.02379599289631824
7,"(60, 20)",0.01,sgd,0.001,0.6102303645927807,0.02412395034720955
24,"(50, 20)",0.001,adam,1e-05,0.6102031561763106,0.03662787373194443
30,"(60, 20)",0.01,adam,1e-05,0.6075820787230183,0.03187763484992074
0,"(50, 20)",0.001,adam,0.001,0.607527661890078,0.047552535544247425
35,"(70, 20)",0.01,sgd,1e-05,0.6074823145292945,0.02867290923475599
12,"(50, 20)",0.001,adam,0.0001,0.6034826773081807,0.025280248706960738
15,"(50, 20)",0.01,sgd,0.0001,0.5994286232541265,0.029444591344673744
10,"(70, 20)",0.01,adam,0.001,0.5981407582078724,0.014935534491334026
29,"(60, 20)",0.001,sgd,1e-05,0.5981316887357156,0.013920975043968702
17,"(60, 20)",0.001,sgd,0.0001,0.5967984763286778,0.010313692720326471
14,"(50, 20)",0.01,adam,0.0001,0.5967259205514239,0.022167207474587485
22,"(70, 20)",0.01,adam,0.0001,0.5940594957373481,0.02934021762423387
19,"(60, 20)",0.01,sgd,0.0001,0.5927897696354073,0.021881319109102074
18,"(60, 20)",0.01,adam,0.0001,0.592762561218937,0.02498322045174349
31,"(60, 20)",0.01,sgd,1e-05,0.5927262833303102,0.012914316911606862
20,"(70, 20)",0.001,adam,0.0001,0.5900598585162344,0.018335951734658275
6,"(60, 20)",0.01,adam,0.001,0.5900598585162344,0.028682254090004338
3,"(50, 20)",0.01,sgd,0.001,0.5887175766370397,0.007326516982762833
26,"(50, 20)",0.01,adam,1e-05,0.585987665517867,0.017068842979888955
34,"(70, 20)",0.01,adam,1e-05,0.58595138762924,0.033189108501064754
5,"(60, 20)",0.001,sgd,0.001,0.5846998004716125,0.012263603288584264
2,"(50, 20)",0.01,adam,0.001,0.5725739161980773,0.03745129343752509
