,param_hidden_layer_sizes,param_activation,param_learning_rate_init,param_solver,param_alpha,mean_test_score,std_test_score
23,"(40, 5)",relu,0.01,adam,0.0001,0.6192120626491601,0.021087636656723543
74,"(60, 5)",relu,0.001,adam,1e-05,0.6167849199166248,0.04469322156275515
37,"(60, 10)",relu,0.01,adam,0.0001,0.6105855126303169,0.04048335627419328
34,"(60, 5)",relu,0.001,adam,0.0001,0.6094001316932182,0.04528114245100849
58,"(30, 10)",relu,0.001,adam,1e-05,0.6086728675190992,0.02814927254100437
76,"(60, 10)",relu,0.001,adam,1e-05,0.6071198999733524,0.022166738182553457
69,"(50, 5)",relu,0.01,adam,1e-05,0.6069061719022002,0.02816604688321052
49,"(60,)",relu,0.01,adam,1e-05,0.6061464597744879,0.02970094284958636
77,"(60, 10)",relu,0.01,adam,1e-05,0.6023999217434993,0.034189121780457236
10,"(20, 5)",relu,0.001,adam,0.0001,0.600871360391971,0.038949060027907885
36,"(60, 10)",relu,0.001,adam,0.0001,0.6008285870088494,0.013113400101416033
32,"(50, 20)",relu,0.001,adam,0.0001,0.6007706392270572,0.03134703119802043
18,"(30, 10)",relu,0.001,adam,0.0001,0.600563336998307,0.04007366655787886
33,"(50, 20)",relu,0.01,adam,0.0001,0.6004951837898617,0.028288011153182302
78,"(60, 20)",relu,0.001,adam,1e-05,0.5981175900594694,0.028079788914585256
8,"(60,)",relu,0.001,adam,0.0001,0.5980780744908714,0.025587016808460317
68,"(50, 5)",relu,0.001,adam,1e-05,0.5976430772667101,0.02384908884014872
28,"(50, 5)",relu,0.001,adam,0.0001,0.5975840219963342,0.01271808634231424
38,"(60, 20)",relu,0.001,adam,0.0001,0.5961358118167827,0.018568785395523205
24,"(40, 10)",relu,0.001,adam,0.0001,0.5960694362325237,0.019286693076053605
57,"(30, 5)",relu,0.01,adam,1e-05,0.5956932660998332,0.02587544963174792
72,"(50, 20)",relu,0.001,adam,1e-05,0.594716572087358,0.03494593723048056
9,"(60,)",relu,0.01,adam,0.0001,0.5932733688568012,0.039620228312395374
48,"(60,)",relu,0.001,adam,1e-05,0.59312477612756,0.031652417387288356
29,"(50, 5)",relu,0.01,adam,0.0001,0.5929201927213171,0.05095411883364704
71,"(50, 10)",relu,0.01,adam,1e-05,0.5917817947351475,0.048182181844296554
67,"(40, 20)",relu,0.01,adam,1e-05,0.5917314394473956,0.015111251508208625
39,"(60, 20)",relu,0.01,adam,0.0001,0.5913187919135929,0.03260014616761024
65,"(40, 10)",relu,0.01,adam,1e-05,0.5911901635606004,0.04179340386594961
22,"(40, 5)",relu,0.001,adam,0.0001,0.5909149136178917,0.032389722370351676
13,"(20, 10)",relu,0.01,adam,0.0001,0.5904082558148199,0.020487311280587808
25,"(40, 10)",relu,0.01,adam,0.0001,0.5900688023579473,0.037526547974059965
63,"(40, 5)",relu,0.01,adam,1e-05,0.5897480652424079,0.02216955953442044
66,"(40, 20)",relu,0.001,adam,1e-05,0.5894310870736017,0.016412116460587125
62,"(40, 5)",relu,0.001,adam,1e-05,0.5870672482048868,0.04203203229991236
11,"(20, 5)",relu,0.01,adam,0.0001,0.5860691170613872,0.02410841601249636
16,"(30, 5)",relu,0.001,adam,0.0001,0.5850257476717812,0.030908212466657876
50,"(20, 5)",relu,0.001,adam,1e-05,0.5844683347636886,0.048154933273642224
53,"(20, 10)",relu,0.01,adam,1e-05,0.5842935163622364,0.00830927270370343
35,"(60, 5)",relu,0.01,adam,0.0001,0.5823665200684495,0.041481308201477815
70,"(50, 10)",relu,0.001,adam,1e-05,0.5823214627878238,0.020287602080203672
20,"(30, 20)",relu,0.001,adam,0.0001,0.5818512608295742,0.013738237866952949
46,"(50,)",relu,0.001,adam,1e-05,0.5813583493542921,0.021571285293422233
6,"(50,)",relu,0.001,adam,0.0001,0.5812418342748328,0.02502224721436223
26,"(40, 20)",relu,0.001,adam,0.0001,0.5789531700537781,0.01741788504788796
52,"(20, 10)",relu,0.001,adam,1e-05,0.5788217850747053,0.02543009952230285
5,"(40,)",relu,0.01,adam,0.0001,0.5781025937224237,0.03790260952409641
14,"(20, 20)",relu,0.001,adam,0.0001,0.5774071918424099,0.031447326836383946
64,"(40, 10)",relu,0.001,adam,1e-05,0.5768074978880672,0.037592845385209836
44,"(40,)",relu,0.001,adam,1e-05,0.5763158595194048,0.03907402696650581
4,"(40,)",relu,0.001,adam,0.0001,0.5760347803115519,0.03246436730197502
21,"(30, 20)",relu,0.01,adam,0.0001,0.5753485585666055,0.03765396121174959
56,"(30, 5)",relu,0.001,adam,1e-05,0.5750837905205491,0.0378764402108869
30,"(50, 10)",relu,0.001,adam,0.0001,0.5750156774730693,0.017405733850954796
73,"(50, 20)",relu,0.01,adam,1e-05,0.5747813966510343,0.04118392462685669
40,"(20,)",relu,0.001,adam,1e-05,0.5746862641962301,0.05135038282046419
27,"(40, 20)",relu,0.01,adam,0.0001,0.5742398542644955,0.02431539782555588
60,"(30, 20)",relu,0.001,adam,1e-05,0.5736858832635227,0.02607667020490971
79,"(60, 20)",relu,0.01,adam,1e-05,0.5734360324750486,0.0356583738086272
2,"(30,)",relu,0.001,adam,0.0001,0.5724989319500868,0.013507616165983933
61,"(30, 20)",relu,0.01,adam,1e-05,0.5724172568833014,0.01939313197459611
7,"(50,)",relu,0.01,adam,0.0001,0.5724116809137009,0.029745287774075504
42,"(30,)",relu,0.001,adam,1e-05,0.572234173381314,0.019816382481612365
45,"(40,)",relu,0.01,adam,1e-05,0.5720695473162437,0.0481901378075646
75,"(60, 5)",relu,0.01,adam,1e-05,0.5718638306448758,0.04619678951777426
51,"(20, 5)",relu,0.01,adam,1e-05,0.5717106012073762,0.052242020944135
59,"(30, 10)",relu,0.01,adam,1e-05,0.5703384534858144,0.02359310329441084
12,"(20, 10)",relu,0.001,adam,0.0001,0.5700745903217971,0.029298945059132338
54,"(20, 20)",relu,0.001,adam,1e-05,0.5690895817819769,0.03513779326980958
43,"(30,)",relu,0.01,adam,1e-05,0.567732953917233,0.03657492537689057
55,"(20, 20)",relu,0.01,adam,1e-05,0.567338803943675,0.03223555394704283
17,"(30, 5)",relu,0.01,adam,0.0001,0.5669724304143445,0.030258973573412562
47,"(50,)",relu,0.01,adam,1e-05,0.5653923290028872,0.04324672277837957
0,"(20,)",relu,0.001,adam,0.0001,0.5652182461661636,0.04230525839437648
1,"(20,)",relu,0.01,adam,0.0001,0.5628564081669317,0.03210847573153649
31,"(50, 10)",relu,0.01,adam,0.0001,0.5618321349379127,0.024850980684931363
3,"(30,)",relu,0.01,adam,0.0001,0.5606928348832774,0.03211717042587301
41,"(20,)",relu,0.01,adam,1e-05,0.5590523898848181,0.035093197840994704
15,"(20, 20)",relu,0.01,adam,0.0001,0.5564488862445203,0.029047838336373023
19,"(30, 10)",relu,0.01,adam,0.0001,0.5562403377570462,0.02662126903209775
