,param_hidden_layer_sizes,param_learning_rate_init,param_solver,param_alpha,mean_test_score,std_test_score
23,"(56, 20)",0.01,sgd,0.001,0.6007618356611646,0.04565021307939011
7,"(56, 20)",0.01,sgd,0.001,0.6007618356611646,0.04565021307939011
11,"(56, 20)",0.01,sgd,0.001,0.6007618356611646,0.04565021307939011
17,"(57, 20)",0.001,sgd,0.001,0.5967077816071105,0.03183526321316923
65,"(57, 20)",0.001,sgd,1e-05,0.5953836386722293,0.020614086242392998
31,"(56, 20)",0.01,sgd,0.0001,0.5926900054416833,0.040732815935078666
35,"(56, 20)",0.01,sgd,0.0001,0.5926900054416833,0.040732815935078666
41,"(57, 20)",0.001,sgd,0.0001,0.5926900054416833,0.022091715096653815
47,"(56, 20)",0.01,sgd,0.0001,0.5926900054416833,0.040732815935078666
61,"(57, 19)",0.001,sgd,1e-05,0.5886450208597861,0.027049149919533146
24,"(55, 19)",0.001,adam,0.0001,0.5886359513876293,0.03916230843175971
44,"(56, 20)",0.001,adam,0.0001,0.5858969707962998,0.0628860509413282
28,"(56, 20)",0.001,adam,0.0001,0.5858969707962998,0.0628860509413282
32,"(56, 20)",0.001,adam,0.0001,0.5858969707962998,0.0628860509413282
37,"(57, 19)",0.001,sgd,0.0001,0.5832486849265373,0.03380035919962052
71,"(56, 20)",0.01,sgd,1e-05,0.5819336114638128,0.028835422210086583
55,"(56, 20)",0.01,sgd,1e-05,0.5819336114638128,0.028835422210086583
59,"(56, 20)",0.01,sgd,1e-05,0.5819336114638128,0.028835422210086583
48,"(55, 19)",0.001,adam,1e-05,0.5819245419916561,0.034131251943810156
52,"(56, 20)",0.001,adam,1e-05,0.580564121168148,0.042195017184245585
56,"(56, 20)",0.001,adam,1e-05,0.580564121168148,0.042195017184245585
68,"(56, 20)",0.001,adam,1e-05,0.580564121168148,0.042195017184245585
50,"(55, 19)",0.01,adam,1e-05,0.5805369127516778,0.05293085678692711
67,"(57, 20)",0.01,sgd,1e-05,0.57920370034464,0.037446307441017394
0,"(55, 19)",0.001,adam,0.001,0.5791764919281698,0.04960754215795516
26,"(55, 19)",0.01,adam,0.0001,0.5778795574097587,0.031600930389489267
25,"(55, 19)",0.001,sgd,0.0001,0.576609831307818,0.009559912013382422
3,"(55, 19)",0.01,sgd,0.001,0.5765282060584075,0.04521578590059235
64,"(57, 20)",0.001,adam,1e-05,0.5765282060584075,0.0348665426839204
13,"(57, 19)",0.001,sgd,0.001,0.5765100671140939,0.03995402970775092
40,"(57, 20)",0.001,adam,0.0001,0.575240341012153,0.023529476117313493
53,"(56, 20)",0.001,sgd,1e-05,0.5725194993651369,0.037419705704794325
69,"(56, 20)",0.001,sgd,1e-05,0.5725194993651369,0.037419705704794325
21,"(56, 20)",0.001,sgd,0.001,0.5725194993651369,0.03196674897387003
12,"(57, 19)",0.001,adam,0.001,0.5725194993651369,0.04152763045024343
9,"(56, 20)",0.001,sgd,0.001,0.5725194993651369,0.03196674897387003
5,"(56, 20)",0.001,sgd,0.001,0.5725194993651369,0.03196674897387003
57,"(56, 20)",0.001,sgd,1e-05,0.5725194993651369,0.037419705704794325
49,"(55, 19)",0.001,sgd,1e-05,0.5712316343188826,0.024221135492171777
1,"(55, 19)",0.001,sgd,0.001,0.571222564846726,0.025469487184374594
60,"(57, 19)",0.001,adam,1e-05,0.5711681480137856,0.04430467875117564
20,"(56, 20)",0.001,adam,0.001,0.5711318701251588,0.05007600126962424
8,"(56, 20)",0.001,adam,0.001,0.5711318701251588,0.05007600126962424
4,"(56, 20)",0.001,adam,0.001,0.5711318701251588,0.05007600126962424
43,"(57, 20)",0.01,sgd,0.0001,0.5711318701251588,0.042696042658939566
38,"(57, 19)",0.01,adam,0.0001,0.5711046617086886,0.06670950354166205
62,"(57, 19)",0.01,adam,1e-05,0.5698530745510612,0.01746116246674875
16,"(57, 20)",0.001,adam,0.001,0.5698167966624343,0.030308998141837108
27,"(55, 19)",0.01,sgd,0.0001,0.5685380010883366,0.01890117164640818
45,"(56, 20)",0.001,sgd,0.0001,0.5684926537275532,0.03632422218030127
29,"(56, 20)",0.001,sgd,0.0001,0.5684926537275532,0.03632422218030127
33,"(56, 20)",0.001,sgd,0.0001,0.5684926537275532,0.03632422218030127
39,"(57, 19)",0.01,sgd,0.0001,0.5671685107926718,0.03483176093431543
36,"(57, 19)",0.001,adam,0.0001,0.5671413023762018,0.03444680087041266
51,"(55, 19)",0.01,sgd,1e-05,0.5631416651550879,0.041035824763697645
63,"(57, 19)",0.01,sgd,1e-05,0.5631235262107745,0.044407899647107965
19,"(57, 20)",0.01,sgd,0.001,0.5631053872664611,0.026337497294213398
15,"(57, 19)",0.01,sgd,0.001,0.5618175222202069,0.04198496020493004
42,"(57, 20)",0.01,adam,0.0001,0.5604208235080719,0.03312622191116477
70,"(56, 20)",0.01,adam,1e-05,0.5603754761472882,0.04586273077634028
54,"(56, 20)",0.01,adam,1e-05,0.5603754761472882,0.04586273077634028
58,"(56, 20)",0.01,adam,1e-05,0.5603754761472882,0.04586273077634028
66,"(57, 20)",0.01,adam,1e-05,0.5591329584618175,0.040902816681360706
14,"(57, 19)",0.01,adam,0.001,0.557690912388899,0.05374750402806565
46,"(56, 20)",0.01,adam,0.0001,0.5563849083983312,0.04277438067588345
34,"(56, 20)",0.01,adam,0.0001,0.5563849083983312,0.04277438067588345
30,"(56, 20)",0.01,adam,0.0001,0.5563849083983312,0.04277438067588345
18,"(57, 20)",0.01,adam,0.001,0.5496462905858879,0.04797171592714834
6,"(56, 20)",0.01,adam,0.001,0.5483130781788501,0.05509170666099187
10,"(56, 20)",0.01,adam,0.001,0.5483130781788501,0.05509170666099187
22,"(56, 20)",0.01,adam,0.001,0.5483130781788501,0.05509170666099187
2,"(55, 19)",0.01,adam,0.001,0.5429076727734446,0.04307566209246657
